DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,NUMBER_CHLD:Number of Living Children,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:PT(1.0): Child Protection,BGR: Bulgaria,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,Vital registration,,,,,,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,BGR: Bulgaria,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,Vital registration,,,,,,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,HRV: Croatia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2017,100,,PCNT: %,,,RP: Reported,F: Free,Ministry of Public Administration,,,,,,2017,0: Not Known,
UNICEF:PT(1.0): Child Protection,HRV: Croatia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2017,100,,PCNT: %,,,RP: Reported,F: Free,Ministry of Public Administration,,,,,,2017,0: Not Known,
UNICEF:PT(1.0): Child Protection,HRV: Croatia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2017,100,,PCNT: %,,,RP: Reported,F: Free,Ministry of Public Administration,,,,,,2017,0: Not Known,
UNICEF:PT(1.0): Child Protection,CZE: Czechia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,CZE: Czechia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,CZE: Czechia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,EST: Estonia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,EST: Estonia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,EST: Estonia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.6,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.5,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,98.6,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.6,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.6,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2015,98.7,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,GEO: Georgia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2015,99.5,,PCNT: %,,,RP: Reported,F: Free,WMS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,HUN: Hungary,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,HUN: Hungary,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,HUN: Hungary,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,98.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,99.8,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2015,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2015,99.4,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2015,99.8,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2015,99.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2015,99.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2015,99.8,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2015,99.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2015,99.5,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2015,99.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,KAZ: Kazakhstan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2015,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2015,,,,,End of fieldwork,2015,0: Not Known,
UNICEF:PT(1.0): Child Protection,LVA: Latvia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,LVA: Latvia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,LVA: Latvia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,LTU: Lithuania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,LTU: Lithuania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,LTU: Lithuania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,E: Estimated value,F: Free,"UNSD Population and Vital Statistics Report, January 2018",,,,,,2016,0: Not Known,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2013,99.4,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2013,99.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2013,99.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2013,97.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2013,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2013,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2013,99.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2013,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2013,99.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2013,99.1,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2013,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2013,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2013,99.4,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2013,99.2,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2013,99.7,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2013,98.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MNE: Montenegro,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2013,99.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2013,,,,,End of fieldwork,2013,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2012,99.6,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2012,99.2,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2012,99.9,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2012,98,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
UNICEF:PT(1.0): Child Protection,MDA: Republic of Moldova,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,MICS 2012,,,,,End of fieldwork,2012,0: Not Known,
